Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A2NFR4,,,,ligand-dependent nuclear receptor transcription coactivator activity,,"regulation of transcription, DNA-templated",,Nucleus,,,,,
A2RRS3,,,,,,,,,,,,,
A2RUB6,285331,CCDS33770.2,130082,,,"detection of light stimulus involved in visual perception;
post-embryonic retina morphogenesis in camera-type eye;
retinal rod cell development",Cilium biogenesis/degradation,,"Cell projection;
Cilium;
Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Reference proteome",
A2VCQ9,,,,,,,,,,,,,
A2VDH9,,,,,,,,,,,,,
A2VDJ0,23240,CCDS3783.2,116844,,,"negative regulation of canonical Wnt signaling pathway;
negative regulation of immature T cell proliferation in thymus;
Wnt signaling pathway",Wnt signaling pathway,"Endoplasmic reticulum;
Plasma Membrane;
Other locations",,,,"Complete proteome;
Reference proteome",
A2VDJ4,,,,,,,,,,,,,
A3KFK1,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A3KFK2,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A3KMG1,,,,,,,,,,,,,
A4D0S4,22798,CCDS34732.1,116479,,,cell adhesion,Cell adhesion,Extracellular region or secreted,"Basement membrane;
Extracellular matrix;
Secreted",,,"Complete proteome;
Reference proteome",
A4D1A8,,,,,,synapse assembly,,Other locations,,,,,
A4D1E1,219578,CCDS5613.1,128555,"metal ion binding;
nucleic acid binding",,,,,,,,"Complete proteome;
Reference proteome",
A4D1E4,,,,"DNA binding;
kinase activity;
protein-containing complex scaffold activity","Kinase;
Transferase",signal transduction,,,,,,,
A4D2E1,,,,,,,,,,,,,
A4FU49,79729,CCDS30674.2,,,,,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Reference proteome",
A4FU96,,,,growth factor activity,Growth factor,,,Extracellular region or secreted,Secreted,,,,
A4FU97,,,,growth factor activity,Growth factor,,,Extracellular region or secreted,Secreted,,,,
A4QPE1,,,,RNA binding,RNA-binding,,,,,,,,
A4UGR9,129446,CCDS42768.1,126192,"actin binding;
alpha-actinin binding",Actin-binding,"actin cytoskeleton organization;
cardiac muscle tissue morphogenesis;
cell-cell junction organization;
ventricular septum development",,Other locations,Cell junction,,,"3D-structure;
Complete proteome;
Reference proteome",
A5D8W1,79846,CCDS43613.2,122937,,,,,,,,,"Complete proteome;
Reference proteome",
A5D8Z4,65125,,,,,,,,,,,,
A5HML1,,,,,,"regulation of transcription, DNA-templated",,,,,,,
A5PLL1,340120,CCDS34194.1,,,,,,"Nucleus;
Other locations","Cytoplasm;
Nucleus",,,"Complete proteome;
Reference proteome",
A6H8W8,50618,,,"calcium ion binding;
Rho guanyl-nucleotide exchange factor activity",,"endocytosis;
regulation of Rho protein signal transduction",,,,,,,
A6H8X0,,,,,,circadian regulation of gene expression,,,,,,,
A6NC89,,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A6NE01,121006,CCDS44878.1,125703,,,,,,,,,"Complete proteome;
Reference proteome",
A6NEM2,3054,,,,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A6NGG8,388939,CCDS42669.1,132908,,,"photoreceptor cell outer segment organization;
protein localization to photoreceptor outer segment;
response to stimulus;
visual perception","Sensory transduction;
Vision",Other locations,"Cell projection;
Cilium",613428,"Ciliopathy;
Disease mutation;
Retinitis pigmentosa","Complete proteome;
Reference proteome",
A6NIY4,442590,CCDS78241.1,,protein kinase binding,,regulation of protein kinase activity,,,,,,"Complete proteome;
Reference proteome",
A6NK53,353355,CCDS33047.1,131691,"DNA binding;
DNA binding transcription factor activity;
metal ion binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding",DNA-binding,"regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
A6NKU9,441272,CCDS47658.2,,protein kinase binding,,regulation of protein kinase activity,,,,,,"Complete proteome;
Reference proteome",
A6NNK5,7158,,,,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A6NP16,,,,,,,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A7MBM6,,,,"histone methyltransferase activity (H3-K4 specific);
metal ion binding",,,,Nucleus,,,,,
A7MCY6,9755,CCDS45722.1,115103,,,"innate immune response;
viral process","Host-virus interaction;
Immunity;
Innate immunity",,,,,"Complete proteome;
Reference proteome",
A8CTZ0,,,,calcium ion binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A8K033,9253,,,,,,,,,,,,
A8K081,,,,,,cell differentiation,,,,,,,
A8K122,,,,,,,,Other locations,,,,,
A8K194,,,,,"Chromatin regulator;
Repressor","chromatin organization;
regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
A8K2Z9,5791,,,protein tyrosine phosphatase activity,"Hydrolase;
Protein phosphatase;
Receptor",,,,,,,,
A8K3W4,11100,,,,"Ribonucleoprotein;
Viral nucleoprotein","response to virus;
RNA processing",,,Virion,,,,
A8K3Y6,8848,,,DNA binding transcription factor activity,,,,,,,,,
A8K720,4205,,,"protein dimerization activity;
RNA polymerase II regulatory region sequence-specific DNA binding",DNA-binding,"positive regulation of transcription by RNA polymerase II;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
A8K8L1,55578,,,transcription cofactor activity,,,,Nucleus,,,,,
A8K8P3,9814,CCDS43004.1,115153,phosphatase binding,,"ciliary basal body-plasma membrane docking;
G2/M transition of mitotic cell cycle;
negative regulation of phosphatase activity;
regulation of G2/M transition of mitotic cell cycle",,"Cytoskeleton;
Cytosol","Cytoplasm;
Cytoskeleton",,,"3D-structure;
Complete proteome;
Reference proteome",
A8KAH2,,,,peptidase activity,,,,,,,,,
A8MTU2,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A8MUV4,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A8MV53,56342,,,,,,,,,,,"Complete proteome;
Reference proteome",
A8MZ36,645027,CCDS45626.1,,"intermediate filament binding;
structural molecule activity",,epidermis development,,Plasma Membrane,,,,"Complete proteome;
Reference proteome",
B0I1S4,144132,,,"ATP binding;
microtubule motor activity",,microtubule-based movement,,Cytoskeleton,,,,,
B0QY86,,,,"metal ion binding;
Rab GTPase binding",,endocytic recycling,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B0QYS6,7942,,,protein dimerization activity,,"humoral immune response;
positive regulation of transcription, DNA-templated",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B0QYS7,,,,protein dimerization activity,,"humoral immune response;
positive regulation of transcription, DNA-templated",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B0QZ55,,,,,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B0YIZ1,51182,,,ATP binding,,,Stress response,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B0YJC5,,,,structural molecule activity,,,,Cytoskeleton,Intermediate filament,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B1AHD1,,,,RNA binding,,ribosome biogenesis,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B1AJU2,80342,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B1AKD8,,,,,,centrosome cycle,,"Cytoskeleton;
Cytosol;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B1AL88,728215,CCDS32006.1,,,,calcium ion import across plasma membrane,,"Plasma Membrane;
Other locations",,,,"Complete proteome;
Reference proteome",
B1AMA2,,,,,,,,Other locations,,,,"Complete proteome;
Reference proteome",
B1APH4,,,,"DNA binding;
metal ion binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
B1AQ29,,,,nucleic acid binding,,"regulation of transcription, DNA-templated",,Other locations,,,,"Complete proteome;
Reference proteome",
B2BY28,,,,,,multicellular organism development,,,,,,,
B2R8A2,,,,,,,,"Endoplasmic reticulum;
Other locations",,,,,
B2RA86,,,,RNA binding,RNA-binding,,,,,,,,
B2RCA2,,,,,,,,,,,,,
B2REC8,,,,,,,,,,,,"Complete proteome;
Reference proteome",
B2RTQ5,,,,,,"barbed-end actin filament uncapping;
negative regulation of barbed-end actin filament capping;
positive regulation of cell migration;
positive regulation of lamellipodium organization",,Other locations,,,,,
B2RXF0,730130,CCDS47694.1,,,,,,Other locations,,,,"Complete proteome;
Reference proteome",
B2ZDQ1,,,,small molecule binding,,,,,,,,,
B3KM38,54971,,,,,,,,,,,,
B3KM60,,,,,"Ribonucleoprotein;
Viral nucleoprotein","response to virus;
RNA processing",,,Virion,,,,
B3KMZ9,,,,,,,,,,,,,
B3KN48,,,,,,,,,,,,,
B3KP57,,,,transmembrane transporter activity,,,,Other locations,,,,,
B3KQ62,,,,,,,,,,,,,
B3KQW0,,,,,,,,,,,,,
B3KR37,,,,,Receptor,,,,,,,,
B3KRA8,,,,ligase activity,Ligase,,,,,,,,
B3KRE9,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,Nucleus,Nucleus,,,,
B3KRK0,,,,nucleic acid binding,,,,,,,,,
B3KRK8,,,,structural molecule activity,,,,Cytoskeleton,Intermediate filament,,,,
B3KRM3,,,,transmembrane transporter activity,,,,Other locations,,,,,
B3KS47,,,,,,,,,,,,,
B3KS98,,,,translation initiation factor activity,Initiation factor,formation of cytoplasmic translation initiation complex,Protein biosynthesis,Other locations,Cytoplasm,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B3KSB3,,,,,,,,,,,,,
B3KSX2,,,,,,miRNA mediated inhibition of translation,,,,,,,
B3KT42,,,,actin binding,,"actin nucleation;
vesicle-mediated transport",,,,,,,
B3KTH8,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"brain development;
regulation of transcription by RNA polymerase II;
transcription, DNA-templated",Transcription,Nucleus,Nucleus,,,,
B3KTN0,,,,,,,,,,,,,
B3KTW4,,,,,,,,,,,,,
B3KU37,,,,RNA binding,,,,,,,,,
B3KU63,,,,DNA binding,DNA-binding,,,"Nucleus;
Other locations",,,,,
B3KUM1,,,,,,,,Cytoskeleton,,,,,
B3KUR6,,,,,,,,,,,,,
B3KUU9,,,,"nuclear receptor activity;
sequence-specific DNA binding;
steroid hormone receptor activity;
zinc ion binding","DNA-binding;
Receptor","transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
B3KVE2,,,,,,,,,,,,,
B3KWH4,79784,,,"actin binding;
ATP binding;
microtubule binding;
microtubule motor activity","Actin-binding;
Motor protein;
Myosin",microtubule-based movement,,Cytoskeleton,,,,,
B3KWP2,,,,"ATPase activity, coupled to transmembrane movement of substances;
ATP binding",,lipid transport,,Other locations,,,,,
B3KWU4,,,,,,"posttranslational protein targeting to membrane, translocation",,Endoplasmic reticulum,,,,,
B3KWW8,,,,,,"regulation of transcription, DNA-templated",,,,,,,
B3KX39,286,,,,,signal transduction,,,,,,,
B3KXF6,,,,metal ion binding,,,,,,,,,
B3KXK2,,,,DNA binding,,,,Nucleus,Nucleus,,,,
B3KXW9,,,,guanyl-nucleotide exchange factor activity,,"actin cytoskeleton organization;
small GTPase mediated signal transduction",,Other locations,,,,,
B3KYA9,,,,,,regulation of autophagy,,Extracellular region or secreted,,,,,
B3VRK5,,,,"ion channel activity;
transmembrane signaling receptor activity",Receptor,,,Other locations,,,,,
B3VTS8,,,,"heme binding;
iron ion binding;
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",,,,,,,,,
B4DDE7,10659,,,RNA binding,RNA-binding,,,,,,,,
B4DDZ2,,,,,,,,,,,,,
B4DE42,,,,"DNA binding;
DNA-directed DNA polymerase activity",,"transcription, DNA-templated",,,,,,,
B4DE54,54971,,,,,,,,,,,,
B4DEM8,,,,RNA binding,RNA-binding,,,,,,,,
B4DEQ6,,,,,,,,,,,,,
B4DEY4,,,,guanyl-nucleotide exchange factor activity,,small GTPase mediated signal transduction,,Other locations,,,,,
B4DF07,,,,guanyl-nucleotide exchange factor activity,,small GTPase mediated signal transduction,,Other locations,,,,,
B4DF22,,,,DNA binding,,,,Nucleus,Nucleus,,,,
B4DF54,,,,RNA binding,RNA-binding,RNA splicing,,,,,,,
B4DFD9,,,,nucleic acid binding,,,,,,,,,
B4DFX6,148741,,,,,,,,,,,,
B4DG08,,,,,,,,,,,,,
B4DG60,,,,,,,,,,,,,
B4DG61,,,,zinc ion binding,,,,Nucleus,,,,,
B4DGD6,,,,RNA polymerase II transcription cofactor activity,Activator,"transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
B4DGF6,,,,,,,,,,,,,
B4DGQ9,,,,nucleic acid binding,,,,,,,,,
B4DH21,905,,,,,"transcription, DNA-templated",,,,,,,
B4DH37,,,,SNAP receptor activity,,"intracellular protein transport;
vesicle-mediated transport",,Other locations,,,,,
B4DH66,55833,,,,,,,,,,,,
B4DH95,474344,,,GTP binding,,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B4DHA1,,,,,,,,,,,,,
B4DHH6,,,,nucleic acid binding,,,,,,,,,
B4DHH8,,,,ATP binding,,,,,,,,,
B4DHI1,,,,DNA binding transcription factor activity,,signal transduction,,Nucleus,,,,,
B4DHK1,,,,,,,,,,,,,
B4DIB6,10659,,,RNA binding,RNA-binding,,,,,,,,
B4DIN7,,,,"ligase activity;
ubiquitin protein ligase activity","Ligase;
Transferase",ubiquitin-dependent protein catabolic process,Ubl conjugation pathway,,,,,,
B4DIR9,23118,,,"kinase activity;
metal ion binding","Kinase;
Transferase",,,,,,,,
B4DIS0,,,,"DNA binding;
helicase activity","DNA-binding;
Helicase;
Hydrolase",,,,,,,,
B4DJH6,,,,,,,,,,,,,
B4DJV8,,,,"metal ion binding;
methylated histone binding",,,,Nucleus,,,,,
B4DK97,,,,,,,,,,,,,
B4DKB9,,,,,,,,,,,,,
B4DKI9,,,,,"Ribonucleoprotein;
Ribosomal protein",,,Other locations,,,,,
B4DKU3,,,,methyltransferase activity,"Methyltransferase;
Transferase",rRNA processing,,Nucleus,,,,,
B4DKV6,,,,protein-containing complex scaffold activity,,signal transduction,,,,,,,
B4DL21,,,,ligand-dependent nuclear receptor transcription coactivator activity,Receptor,"regulation of transcription, DNA-templated",,Nucleus,,,,,
B4DL88,,,,,,,,,,,,,
B4DL98,,,,,,,,Golgi apparatus,,,,,
B4DLC8,,,,"DNA binding;
DNA binding transcription factor activity",,signal transduction,,"Cytosol;
Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B4DLE1,,,,,,,,,,,,,
B4DLU3,9489,,,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity,,cardiolipin biosynthetic process,,,,,,,
B4DLW1,546,,,,,,,,,,,,
B4DM27,,,,,,,,,,,,,
B4DM43,,,,,,,,,,,,,
B4DM66,,,,RNA binding,RNA-binding,,,,,,,,
B4DMA8,,,,"ATP binding;
microtubule binding;
microtubule motor activity",Motor protein,microtubule-based movement,,Cytoskeleton,Microtubule,,,,
B4DMB2,,,,DNA binding transcription factor activity,,,,,,,,,
B4DMK5,,,,,,,,,,,,,
B4DMV4,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,Nucleus,Nucleus,,,,
B4DN36,9819,,,DNA binding transcription factor activity,,,,,,,,,
B4DN68,,,,RNA polymerase II transcription cofactor activity,Activator,"transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
B4DN85,,,,"ligase activity;
ubiquitin protein ligase activity","Ligase;
Transferase",ubiquitin-dependent protein catabolic process,Ubl conjugation pathway,,,,,,
B4DNR7,,,,calcium ion binding,,,,,,,,,
B4DPC1,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
B4DPG6,,,,glutathione hydrolase activity,,glutathione catabolic process,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B4DPK0,,,,transmembrane transporter activity,,,,Other locations,,,,,
B4DPR1,,,,"nuclear receptor activity;
sequence-specific DNA binding;
steroid hormone receptor activity;
zinc ion binding","DNA-binding;
Receptor","transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
B4DPU0,,,,O-acyltransferase activity,,lipid metabolic process,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
B4DPV2,,,,"ATPase activity, coupled to transmembrane movement of substances;
ATP binding",,,,Other locations,,,,,
B4DPW8,10499,,,"ligand-dependent nuclear receptor transcription coactivator activity;
nuclear hormone receptor binding",Receptor,"regulation of transcription, DNA-templated",,Nucleus,,,,,
B4DQ49,,,,structural molecule activity,,,,Cytoskeleton,"Intermediate filament;
Keratin",,,,
B4DQL3,,,,RNA binding,RNA-binding,,,,,,,,
B4DQN8,,,,,,,,,,,,,
B4DQR8,,,,metal ion binding,,,,,,,,,
B4DQW7,,,,,,,,Golgi apparatus,,,,,
B4DR08,,,,,,,,,,,,,
B4DR65,,,,,,circadian regulation of gene expression,,,,,,,
B4DRB6,,,,,,,,,,,,,
B4DRP8,92283,,,"metal ion binding;
nucleic acid binding",,"regulation of transcription, DNA-templated",,Other locations,,,,"Complete proteome;
Reference proteome",
B4DRS8,,,,"GTPase activity;
GTP binding",,,,,,,,,
B4DRU9,,,,"ATPase activity;
ATP binding",,,,,,,,,
B4DRX0,163351,,,"GTPase activity;
GTP binding",,,,,,,,,
B4DSN8,,,,DNA binding,DNA-binding,,,Nucleus,Nucleus,,,,
B4DST1,,,,methyltransferase activity,"Methyltransferase;
Transferase",,,,,,,,
